time,bid,bidSize,ask,askSize,buyMO,sellMO,buySellImb,orderImb,spread
1900-01-21 00:00:00,8202.5,37457,8203.0,150525,3150,23160,-20010,-113068,0.5
1900-01-21 00:00:15,8191.0,15314,8191.5,25702,91439,673000,-581561,-10388,0.5
1900-01-21 00:00:30,8189.0,1800166,8190.0,30867,211503,873269,-661766,1769299,1.0
1900-01-21 00:00:45,8192.5,430047,8193.0,452316,70292,132588,-62296,-22269,0.5
1900-01-21 00:01:00,8193.0,611123,8193.5,28228,272206,199993,72213,582895,0.5
1900-01-21 00:01:15,8183.0,29998,8183.5,197410,189189,370476,-181287,-167412,0.5
1900-01-21 00:01:30,8177.0,77420,8177.5,224818,23576,1551929,-1528353,-147398,0.5
1900-01-21 00:01:45,8165.5,8475,8166.0,103053,192780,4236258,-4043478,-94578,0.5
1900-01-21 00:02:00,8189.5,1450,8190.0,42780,3309241,975701,2333540,-41330,0.5
1900-01-21 00:02:15,8177.5,728095,8178.0,116111,379523,284338,95185,611984,0.5
1900-01-21 00:02:30,8179.0,21714,8179.5,216171,1051903,290810,761093,-194457,0.5
1900-01-21 00:02:45,8165.5,65900,8166.0,90630,162564,1336309,-1173745,-24730,0.5
1900-01-21 00:03:00,8150.0,394587,8151.5,16683,86004,2458234,-2372230,377904,1.5
1900-01-21 00:03:15,8143.0,20000,8147.5,28909,207127,4298580,-4091453,-8909,4.5
1900-01-21 00:03:30,8150.0,157328,8150.5,677602,1399804,671099,728705,-520274,0.5
1900-01-21 00:03:45,8161.5,58500,8162.0,487546,2582083,368448,2213635,-429046,0.5
1900-01-21 00:04:00,8157.0,288072,8157.5,418645,207402,412546,-205144,-130573,0.5
1900-01-21 00:04:15,8155.0,172844,8155.5,521649,416533,552335,-135802,-348805,0.5
1900-01-21 00:04:30,8148.5,9965,8149.0,739973,284114,820750,-536636,-730008,0.5
1900-01-21 00:04:45,8130.0,719372,8130.5,63661,257565,2819294,-2561729,655711,0.5
1900-01-21 00:05:00,8130.0,61494,8130.5,1624,146627,484846,-338219,59870,0.5
1900-01-21 00:05:15,8122.5,12000,8125.0,200,528968,1349005,-820037,11800,2.5
1900-01-21 00:05:30,8040.0,171295,8060.5,99160,36660,2495984,-2459324,72135,20.5
1900-01-21 00:05:45,8005.0,57644,8006.0,2450321,2175831,5801949,-3626118,-2392677,1.0
1900-01-21 00:06:00,7941.0,45312,7980.5,791705,5104464,6061304,-956840,-746393,39.5
1900-01-21 00:06:15,8027.5,3358,8028.0,764131,3713857,4123622,-409765,-760773,0.5
1900-01-21 00:06:30,8036.0,19690,8036.5,17326,3061334,1748421,1312913,2364,0.5
1900-01-21 00:06:45,8041.0,143920,8043.0,25338,1294104,849516,444588,118582,2.0
1900-01-21 00:07:00,8051.5,30913,8052.5,1186264,1948753,419942,1528811,-1155351,1.0
1900-01-21 00:07:15,8069.5,16000,8070.0,54288,1563323,415071,1148252,-38288,0.5
1900-01-21 00:07:30,8080.0,1051467,8080.5,678385,2390163,107445,2282718,373082,0.5
1900-01-21 00:07:45,8068.5,1510845,8069.0,27261,1320521,1947816,-627295,1483584,0.5
1900-01-21 00:08:00,8062.5,4,8063.0,8972,1753470,510996,1242474,-8968,0.5
1900-01-21 00:08:15,8085.5,56954,8086.0,97148,626846,307557,319289,-40194,0.5
1900-01-21 00:08:30,8073.0,21305,8073.5,53488,522264,998677,-476413,-32183,0.5
1900-01-21 00:08:45,8080.5,174373,8081.0,357306,753438,252738,500700,-182933,0.5
1900-01-21 00:09:00,8092.5,682897,8093.0,16727,1366399,341016,1025383,666170,0.5
1900-01-21 00:09:15,8094.0,98500,8094.5,21657,811800,227022,584778,76843,0.5
1900-01-21 00:09:30,8090.0,626032,8090.5,273802,421997,270288,151709,352230,0.5
1900-01-21 00:09:45,8091.5,6028,8093.0,7255,964983,487788,477195,-1227,1.5
1900-01-21 00:10:00,8090.0,24768,8090.5,16548,305472,147440,158032,8220,0.5
1900-01-21 00:10:15,8108.5,4925,8109.5,79547,1235430,658676,576754,-74622,1.0
1900-01-21 00:10:30,8109.5,10000,8110.5,48144,536223,184762,351461,-38144,1.0
1900-01-21 00:10:45,8115.5,924675,8116.0,20474,499720,120777,378943,904201,0.5
1900-01-21 00:11:00,8129.0,382049,8129.5,71502,769238,5194,764044,310547,0.5
1900-01-21 00:11:15,8125.5,57310,8126.0,76639,1394984,256588,1138396,-19329,0.5
1900-01-21 00:11:30,8125.5,761866,8126.0,237824,331026,264649,66377,524042,0.5
1900-01-21 00:11:45,8125.5,348894,8126.0,83351,1003372,505964,497408,265543,0.5
1900-01-21 00:12:00,8119.5,71958,8120.0,950,282691,1808416,-1525725,71008,0.5
1900-01-21 00:12:15,8113.0,330255,8113.5,340276,167004,1993897,-1826893,-10021,0.5
1900-01-21 00:12:30,8117.0,300339,8117.5,33021,238256,964826,-726570,267318,0.5
1900-01-21 00:12:45,8120.0,1388,8126.0,7500,274141,350716,-76575,-6112,6.0
1900-01-21 00:13:00,8121.5,765941,8122.0,10910,142215,108177,34038,755031,0.5
1900-01-21 00:13:15,8125.0,1047496,8125.5,26,247068,230032,17036,1047470,0.5
1900-01-21 00:13:30,8127.5,15793,8128.0,282670,294459,211102,83357,-266877,0.5
1900-01-21 00:13:45,8127.5,646,8128.0,471812,75301,315854,-240553,-471166,0.5
1900-01-21 00:14:00,8121.5,362699,8122.0,390911,69870,592987,-523117,-28212,0.5
1900-01-21 00:14:15,8113.5,44900,8114.0,12000,238940,765029,-526089,32900,0.5
1900-01-21 00:14:30,8105.0,1456234,8105.5,427512,91256,1479323,-1388067,1028722,0.5
1900-01-21 00:14:45,8101.5,68493,8102.0,294618,123374,2264734,-2141360,-226125,0.5
1900-01-21 00:15:00,8102.5,47980,8105.5,13990,445542,1109088,-663546,33990,3.0
1900-01-21 00:15:15,8115.5,1523580,8116.0,9549,478441,194146,284295,1514031,0.5
1900-01-21 00:15:30,8124.5,305668,8125.0,1075518,269923,206998,62925,-769850,0.5
1900-01-21 00:15:45,8120.0,277078,8120.5,50,267381,361123,-93742,277028,0.5
1900-01-21 00:16:00,8116.0,31576,8116.5,321210,258942,181292,77650,-289634,0.5
1900-01-21 00:16:15,8123.0,1719346,8123.5,14944,436327,159687,276640,1704402,0.5
1900-01-21 00:16:30,8123.0,605245,8123.5,162883,42328,522168,-479840,442362,0.5
1900-01-21 00:16:45,8123.0,73596,8123.5,610456,78262,342039,-263777,-536860,0.5
1900-01-21 00:17:00,8129.5,326625,8130.0,191285,501742,45794,455948,135340,0.5
1900-01-21 00:17:15,8130.0,900578,8130.5,145945,551765,88906,462859,754633,0.5
1900-01-21 00:17:30,8137.5,126752,8138.0,130299,591352,80660,510692,-3547,0.5
1900-01-21 00:17:45,8135.5,771703,8136.0,309668,198889,116715,82174,462035,0.5
1900-01-21 00:18:00,8138.0,914244,8138.5,270490,466921,218940,247981,643754,0.5
1900-01-21 00:18:15,8140.5,1659234,8141.0,16862,346134,38012,308122,1642372,0.5
1900-01-21 00:18:30,8135.0,61804,8135.5,361953,792385,327789,464596,-300149,0.5
1900-01-21 00:18:45,8130.0,286501,8130.5,428598,217419,306520,-89101,-142097,0.5
1900-01-21 00:19:00,8135.5,772813,8136.0,5532,85564,44456,41108,767281,0.5
1900-01-21 00:19:15,8135.5,45328,8136.0,187983,127886,151745,-23859,-142655,0.5
1900-01-21 00:19:30,8140.0,243266,8140.5,184495,102444,65772,36672,58771,0.5
1900-01-21 00:19:45,8132.5,188609,8133.0,679154,30945,173788,-142843,-490545,0.5
1900-01-21 00:20:00,8132.5,85086,8133.0,737458,12399,550862,-538463,-652372,0.5
1900-01-21 00:20:15,8128.0,1110438,8128.5,79709,39246,347900,-308654,1030729,0.5
1900-01-21 00:20:30,8129.0,20580,8129.5,58,164700,115274,49426,20522,0.5
1900-01-21 00:20:45,8127.5,16868,8128.0,422122,89068,44163,44905,-405254,0.5
1900-01-21 00:21:00,8125.5,160909,8126.0,448214,112352,145388,-33036,-287305,0.5
1900-01-21 00:21:15,8111.5,254035,8112.0,402578,266730,782418,-515688,-148543,0.5
1900-01-21 00:21:30,8120.5,661387,8121.0,74754,649760,116450,533310,586633,0.5
1900-01-21 00:21:45,8120.5,314434,8121.0,399258,48613,88431,-39818,-84824,0.5
1900-01-21 00:22:00,8120.0,32731,8120.5,685302,23570,274542,-250972,-652571,0.5
1900-01-21 00:22:15,8111.5,1258328,8112.0,336139,34568,298342,-263774,922189,0.5
1900-01-21 00:22:30,8111.5,4448,8112.0,683527,292418,514769,-222351,-679079,0.5
1900-01-21 00:22:45,8111.0,1264196,8111.5,144947,22697,46996,-24299,1119249,0.5
1900-01-21 00:23:00,8112.5,700216,8113.0,219049,258491,140106,118385,481167,0.5
1900-01-21 00:23:15,8114.5,907211,8115.0,194024,419423,327301,92122,713187,0.5
1900-01-21 00:23:30,8111.0,915765,8111.5,664271,46664,169850,-123186,251494,0.5
1900-01-21 00:23:45,8110.0,32320,8110.5,914637,12844,210472,-197628,-882317,0.5
1900-01-21 00:24:00,8090.0,1506308,8090.5,13972,2242,894577,-892335,1492336,0.5
1900-01-21 00:24:15,8098.5,119156,8099.0,115866,203135,1699486,-1496351,3290,0.5
1900-01-21 00:24:30,8103.5,582137,8104.0,305551,627726,88199,539527,276586,0.5
1900-01-21 00:24:45,8103.5,146043,8104.0,599995,196722,73992,122730,-453952,0.5
1900-01-21 00:25:00,8097.5,491403,8098.0,599134,46118,234756,-188638,-107731,0.5
1900-01-21 00:25:15,8094.0,38919,8094.5,714811,166893,198592,-31699,-675892,0.5
1900-01-21 00:25:30,8085.0,33269,8085.5,6800,271101,2388706,-2117605,26469,0.5
1900-01-21 00:25:45,8085.0,519571,8085.5,622603,404579,341627,62952,-103032,0.5
1900-01-21 00:26:00,8072.0,779237,8072.5,310780,397614,1049540,-651926,468457,0.5
1900-01-21 00:26:15,8071.5,16111,8072.0,153569,771904,332888,439016,-137458,0.5
1900-01-21 00:26:30,8060.0,348503,8060.5,5861,51421,1761412,-1709991,342642,0.5
1900-01-21 00:26:45,8053.5,713363,8054.0,101692,146770,1255968,-1109198,611671,0.5
1900-01-21 00:27:00,8065.5,42814,8066.0,69764,721254,3146339,-2425085,-26950,0.5
1900-01-21 00:27:15,8053.0,76432,8053.5,390242,169890,944588,-774698,-313810,0.5
1900-01-21 00:27:30,8040.0,75360,8040.5,93923,56124,876273,-820149,-18563,0.5
1900-01-21 00:27:45,8027.0,10050,8028.0,7742,900186,759415,140771,2308,1.0
1900-01-21 00:28:00,8039.5,386035,8040.0,14108,934585,341390,593195,371927,0.5
1900-01-21 00:28:15,8056.0,243488,8056.5,538829,961504,162919,798585,-295341,0.5
1900-01-21 00:28:30,8062.5,176984,8063.0,11038,1448408,280992,1167416,165946,0.5
1900-01-21 00:28:45,8060.0,434132,8060.5,427864,347357,234311,113046,6268,0.5
1900-01-21 00:29:00,8056.5,1323,8058.0,273885,283692,425764,-142072,-272562,1.5
1900-01-21 00:29:15,8049.5,161240,8050.0,96382,103402,312158,-208756,64858,0.5
1900-01-21 00:29:30,8035.5,22207,8036.0,20000,1121003,1204751,-83748,2207,0.5
1900-01-21 00:29:45,8043.5,166874,8044.0,1207133,516056,87683,428373,-1040259,0.5
1900-01-21 00:30:00,8038.5,22193,8039.0,672321,691089,583285,107804,-650128,0.5
1900-01-21 00:30:15,8022.0,10118,8022.5,174953,27263,784905,-757642,-164835,0.5
1900-01-21 00:30:30,8019.5,527048,8020.0,422467,1802637,556551,1246086,104581,0.5
1900-01-21 00:30:45,8028.5,1246270,8029.0,351537,228873,647827,-418954,894733,0.5
1900-01-21 00:31:00,8028.5,947533,8029.0,9802,641841,1504098,-862257,937731,0.5
1900-01-21 00:31:15,8046.5,77000,8047.0,11257,1223246,112715,1110531,65743,0.5
1900-01-21 00:31:30,8045.0,181213,8045.5,635116,339338,220092,119246,-453903,0.5
1900-01-21 00:31:45,8042.5,1183616,8043.0,981353,691419,222630,468789,202263,0.5
1900-01-21 00:32:00,8049.5,92475,8050.0,338051,458729,60709,398020,-245576,0.5
1900-01-21 00:32:15,8048.5,521858,8049.0,770281,415741,406504,9237,-248423,0.5
1900-01-21 00:32:30,8058.5,1489751,8059.0,852865,635325,54198,581127,636886,0.5
1900-01-21 00:32:45,8071.5,46748,8072.0,86164,1067109,108645,958464,-39416,0.5
1900-01-21 00:33:00,8060.0,25845,8060.5,276521,1389376,559821,829555,-250676,0.5
1900-01-21 00:33:15,8067.0,192621,8067.5,1395820,417479,235167,182312,-1203199,0.5
1900-01-21 00:33:30,8067.0,1096729,8067.5,447803,730456,173288,557168,648926,0.5
1900-01-21 00:33:45,8077.5,130936,8078.0,4745,861425,7094,854331,126191,0.5
1900-01-21 00:34:00,8083.5,2100,8084.0,3115302,751335,189658,561677,-3113202,0.5
1900-01-21 00:34:15,8079.5,442496,8080.0,735994,929589,358650,570939,-293498,0.5
1900-01-21 00:34:30,8099.5,353478,8100.0,47,1693892,135306,1558586,353431,0.5
1900-01-21 00:34:45,8098.5,31523,8099.0,637163,605073,182929,422144,-605640,0.5
1900-01-21 00:35:00,8092.0,9689,8092.5,516322,369877,438710,-68833,-506633,0.5
1900-01-21 00:35:15,8088.0,230562,8088.5,480603,38377,666626,-628249,-250041,0.5
1900-01-21 00:35:30,8070.0,1183462,8070.5,18636,1025010,2817463,-1792453,1164826,0.5
1900-01-21 00:35:45,8073.0,28521,8073.5,403976,286992,594284,-307292,-375455,0.5
1900-01-21 00:36:00,8064.0,951828,8064.5,623282,41879,196732,-154853,328546,0.5
1900-01-21 00:36:15,8079.5,837984,8080.0,829073,554171,194891,359280,8911,0.5
1900-01-21 00:36:30,8066.0,72978,8066.5,978129,156713,224404,-67691,-905151,0.5
1900-01-21 00:36:45,8064.0,680888,8064.5,376069,77339,449312,-371973,304819,0.5
1900-01-21 00:37:00,8061.0,96775,8061.5,677922,306362,185451,120911,-581147,0.5
1900-01-21 00:37:15,8050.0,45117,8050.5,205364,49560,228557,-178997,-160247,0.5
1900-01-21 00:37:30,8053.0,1994,8055.0,1205235,408968,644562,-235594,-1203241,2.0
1900-01-21 00:37:45,8047.0,7882,8047.5,820521,157275,154212,3063,-812639,0.5
1900-01-21 00:38:00,8053.5,533011,8054.0,36107,126852,272786,-145934,496904,0.5
1900-01-21 00:38:15,8046.5,1265,8047.0,22500,341346,168096,173250,-21235,0.5
1900-01-21 00:38:30,8052.0,886959,8052.5,75585,205946,167117,38829,811374,0.5
1900-01-21 00:38:45,8038.0,380059,8038.5,197234,170583,231097,-60514,182825,0.5
1900-01-21 00:39:00,8056.0,10020,8056.5,31674,1515466,351608,1163858,-21654,0.5
1900-01-21 00:39:15,8030.0,165090,8030.5,79578,195462,1529249,-1333787,85512,0.5
1900-01-21 00:39:30,8013.0,136631,8013.5,105630,569997,1969214,-1399217,31001,0.5
1900-01-21 00:39:45,7987.0,22,7987.5,284992,149121,3389539,-3240418,-284970,0.5
1900-01-21 00:40:00,7989.0,133868,7989.5,34400,330686,1476470,-1145784,99468,0.5
1900-01-21 00:40:15,7983.5,95939,7994.0,273623,1178699,1901587,-722888,-177684,10.5
1900-01-21 00:40:30,7974.0,106311,7974.5,1152732,636976,446534,190442,-1046421,0.5
1900-01-21 00:40:45,7956.0,1281156,7956.5,695066,158118,1210987,-1052869,586090,0.5
1900-01-21 00:41:00,7946.0,973,7946.5,15810,528485,3942951,-3414466,-14837,0.5
1900-01-21 00:41:15,7968.5,4000,7969.0,188970,872097,2793242,-1921145,-184970,0.5
1900-01-21 00:41:30,7963.0,368624,7963.5,358341,1024453,695567,328886,10283,0.5
1900-01-21 00:41:45,7975.0,328717,7975.5,30073,2088294,965835,1122459,298644,0.5
1900-01-21 00:42:00,7975.0,415277,7975.5,224296,1108751,2813300,-1704549,190981,0.5
1900-01-21 00:42:15,7970.0,204,7970.5,68152,797118,765652,31466,-67948,0.5
1900-01-21 00:42:30,7962.5,7628,7963.0,404892,445908,178146,267762,-397264,0.5
1900-01-21 00:42:45,7960.5,33573,7961.0,53000,564702,1509786,-945084,-19427,0.5
1900-01-21 00:43:00,7898.0,13625,7900.5,450,569099,4705077,-4135978,13175,2.5
1900-01-21 00:43:15,7874.5,4500,7875.0,970175,4227027,5784556,-1557529,-965675,0.5
1900-01-21 00:43:30,7907.0,161953,7914.0,17332,7354102,2495846,4858256,144621,7.0
1900-01-21 00:43:45,7914.0,915410,7914.5,67616,1150180,1730776,-580596,847794,0.5
1900-01-21 00:44:00,7922.5,1945,7923.0,227600,1912666,890344,1022322,-225655,0.5
1900-01-21 00:44:15,7907.0,178891,7907.5,359467,6478127,853038,5625089,-180576,0.5
1900-01-21 00:44:30,7895.0,51927,7895.5,67588,570461,677026,-106565,-15661,0.5
1900-01-21 00:44:45,7878.5,120597,7879.0,12400,502593,939728,-437135,108197,0.5
1900-01-21 00:45:00,7852.0,962398,7852.5,35750,673232,2639724,-1966492,926648,0.5
1900-01-21 00:45:15,7821.5,103100,7825.0,10000,1426410,5527089,-4100679,93100,3.5
1900-01-21 00:45:30,7855.0,165385,7855.5,9001,1521683,5584947,-4063264,156384,0.5
1900-01-21 00:45:45,7851.5,39105,7853.0,21500,3299484,2086238,1213246,17605,1.5
1900-01-21 00:46:00,7869.5,109734,7870.0,36831,1017394,664716,352678,72903,0.5
1900-01-21 00:46:15,7900.0,569194,7900.5,8046,1245667,274660,971007,561148,0.5
1900-01-21 00:46:30,7926.5,1758,7927.0,14900,1224676,3308100,-2083424,-13142,0.5
1900-01-21 00:46:45,7929.5,186143,7930.0,244786,1460153,334741,1125412,-58643,0.5
1900-01-21 00:47:00,7938.5,118272,7939.0,62033,948387,960670,-12283,56239,0.5
1900-01-21 00:47:15,7925.5,15246,7931.0,3705,539019,1238256,-699237,11541,5.5
1900-01-21 00:47:30,7922.0,121344,7922.5,7350,1131094,676270,454824,113994,0.5
1900-01-21 00:47:45,7929.5,208000,7930.0,558289,1972693,190179,1782514,-350289,0.5
1900-01-21 00:48:00,7929.0,442826,7929.5,257186,717983,936512,-218529,185640,0.5
1900-01-21 00:48:15,7926.5,58345,7927.0,38612,409390,428426,-19036,19733,0.5
1900-01-21 00:48:30,7934.5,735336,7935.0,37020,641882,78970,562912,698316,0.5
1900-01-21 00:48:45,7937.0,227695,7937.5,185057,1453719,216017,1237702,42638,0.5
1900-01-21 00:49:00,7936.0,17445,7936.5,182574,927200,371973,555227,-165129,0.5
1900-01-21 00:49:15,7921.5,18463,7924.0,1591,912161,1502085,-589924,16872,2.5
1900-01-21 00:49:30,7911.0,25811,7911.5,876937,556368,333400,222968,-851126,0.5
1900-01-21 00:49:45,7889.0,65818,7890.0,116936,720425,617430,102995,-51118,1.0
1900-01-21 00:50:00,7896.0,236903,7896.5,417277,1429626,1750211,-320585,-180374,0.5
1900-01-21 00:50:15,7908.5,32249,7909.5,9151,683766,360669,323097,23098,1.0
1900-01-21 00:50:30,7904.5,9331,7905.0,538174,932045,563436,368609,-528843,0.5
1900-01-21 00:50:45,7910.5,939767,7911.0,118881,646051,135968,510083,820886,0.5
1900-01-21 00:51:00,7924.5,19980,7925.0,351072,1359778,145523,1214255,-331092,0.5
1900-01-21 00:51:15,7907.5,1086,7908.0,7935,554254,158090,396164,-6849,0.5
1900-01-21 00:51:30,7924.5,84702,7925.0,137997,682765,619025,63740,-53295,0.5
1900-01-21 00:51:45,7909.0,823278,7909.5,64372,153600,388167,-234567,758906,0.5
1900-01-21 00:52:00,7921.0,372540,7921.5,246000,472551,291637,180914,126540,0.5
1900-01-21 00:52:15,7930.5,3500,7931.0,80091,350281,324095,26186,-76591,0.5
1900-01-21 00:52:30,7928.5,505497,7929.0,114103,187603,140275,47328,391394,0.5
1900-01-21 00:52:45,7939.5,275708,7940.0,142242,281666,385619,-103953,133466,0.5
1900-01-21 00:53:00,7949.5,393058,7950.0,546991,504047,19126,484921,-153933,0.5
1900-01-21 00:53:15,7963.5,13000,7964.0,18421,955493,102722,852771,-5421,0.5
1900-01-21 00:53:30,7959.0,36919,7960.5,857424,865494,374222,491272,-820505,1.5
1900-01-21 00:53:45,7946.0,19959,7946.5,537719,284539,544715,-260176,-517760,0.5
1900-01-21 00:54:00,7941.0,506321,7941.5,157418,243488,355296,-111808,348903,0.5
1900-01-21 00:54:15,7941.5,643200,7942.0,44246,153096,183853,-30757,598954,0.5
1900-01-21 00:54:30,7946.0,40845,7946.5,309298,156712,142108,14604,-268453,0.5
1900-01-21 00:54:45,7939.5,521207,7940.0,315402,451972,130889,321083,205805,0.5
1900-01-21 00:55:00,7940.0,83142,7940.5,284455,468562,333090,135472,-201313,0.5
1900-01-21 00:55:15,7935.0,151095,7935.5,412211,177595,862996,-685401,-261116,0.5
1900-01-21 00:55:30,7954.5,524422,7955.0,349603,1079972,60869,1019103,174819,0.5
1900-01-21 00:55:45,7945.0,108758,7945.5,679194,336143,155906,180237,-570436,0.5
1900-01-21 00:56:00,7949.5,1011418,7950.0,432819,396955,110346,286609,578599,0.5
1900-01-21 00:56:15,7955.5,37451,7956.0,474,343075,148389,194686,36977,0.5
1900-01-21 00:56:30,7953.5,669073,7954.0,76995,550670,98422,452248,592078,0.5
1900-01-21 00:56:45,7945.5,46854,7950.5,116775,120402,45712,74690,-69921,5.0
1900-01-21 00:57:00,7948.0,135557,7948.5,489911,87053,17360,69693,-354354,0.5
1900-01-21 00:57:15,7944.0,1383679,7944.5,668385,347111,1420077,-1072966,715294,0.5
1900-01-21 00:57:30,7931.0,142255,7931.5,1088865,325221,2070111,-1744890,-946610,0.5
1900-01-21 00:57:45,7941.0,576614,7941.5,89385,233542,320395,-86853,487229,0.5
1900-01-21 00:58:00,7936.0,9025,7936.5,585756,42022,196376,-154354,-576731,0.5
1900-01-21 00:58:15,7926.0,437039,7926.5,114285,61772,159470,-97698,322754,0.5
1900-01-21 00:58:30,7929.5,30302,7930.0,148755,696705,479389,217316,-118453,0.5
1900-01-21 00:58:45,7949.0,486576,7949.5,356725,341569,469036,-127467,129851,0.5
1900-01-21 00:59:00,7948.5,6441,7949.0,842908,75040,227927,-152887,-836467,0.5
1900-01-21 00:59:15,7944.5,64810,7945.0,639915,25246,49335,-24089,-575105,0.5
1900-01-21 00:59:30,7953.5,305286,7954.0,92663,425482,219336,206146,212623,0.5
1900-01-21 00:59:45,7948.0,369513,7948.5,225510,135054,276939,-141885,144003,0.5
1900-01-21 01:00:00,7948.0,212178,7948.5,567430,139384,202414,-63030,-355252,0.5
1900-01-21 01:00:15,7943.0,37390,7943.5,225040,61999,304665,-242666,-187650,0.5
1900-01-21 01:00:30,7925.5,40,7926.0,22472,74060,285848,-211788,-22432,0.5
1900-01-21 01:00:45,7915.0,38997,7915.5,86926,258094,1419420,-1161326,-47929,0.5
1900-01-21 01:01:00,7930.5,190374,7931.0,491607,327341,154470,172871,-301233,0.5
1900-01-21 01:01:15,7919.0,35863,7919.5,447415,145867,54896,90971,-411552,0.5
1900-01-21 01:01:30,7919.0,36102,7919.5,423327,292660,431358,-138698,-387225,0.5
1900-01-21 01:01:45,7895.0,538034,7895.5,23432,111751,1999425,-1887674,514602,0.5
1900-01-21 01:02:00,7916.0,55929,7916.5,474659,373712,232214,141498,-418730,0.5
1900-01-21 01:02:15,7886.0,2,7893.0,292891,622025,1709901,-1087876,-292889,7.0
1900-01-21 01:02:30,7883.5,4656,7884.0,68659,733430,480990,252440,-64003,0.5
1900-01-21 01:02:45,7893.5,57072,7894.0,6000,501995,129049,372946,51072,0.5
1900-01-21 01:03:00,7890.0,603570,7890.5,1031604,367430,880025,-512595,-428034,0.5
1900-01-21 01:03:15,7901.0,112088,7901.5,148999,1478921,282153,1196768,-36911,0.5
1900-01-21 01:03:30,7905.5,19943,7906.0,212071,446376,161899,284477,-192128,0.5
1900-01-21 01:03:45,7899.0,97830,7899.5,534398,199159,248427,-49268,-436568,0.5
1900-01-21 01:04:00,7897.5,32846,7898.0,7301,35680,186389,-150709,25545,0.5
1900-01-21 01:04:15,7895.5,365355,7896.0,644586,74921,456720,-381799,-279231,0.5
1900-01-21 01:04:30,7886.0,500008,7886.5,165437,87204,897325,-810121,334571,0.5
1900-01-21 01:04:45,7894.0,392210,7894.5,411999,306081,1032253,-726172,-19789,0.5
1900-01-21 01:05:00,7905.0,150065,7905.5,53841,125207,148806,-23599,96224,0.5
1900-01-21 01:05:15,7915.0,552053,7915.5,303436,664485,37406,627079,248617,0.5
1900-01-21 01:05:30,7918.5,485086,7919.0,33149,717202,1250597,-533395,451937,0.5
1900-01-21 01:05:45,7921.5,62662,7922.0,873226,380475,680161,-299686,-810564,0.5
1900-01-21 01:06:00,7914.0,55270,7914.5,992714,110868,109697,1171,-937444,0.5
1900-01-21 01:06:15,7910.0,74614,7910.5,646368,38881,194258,-155377,-571754,0.5
1900-01-21 01:06:30,7900.0,130671,7900.5,426725,76300,650676,-574376,-296054,0.5
1900-01-21 01:06:45,7897.5,251164,7898.0,339711,83617,152324,-68707,-88547,0.5
1900-01-21 01:07:00,7907.5,360554,7908.0,19114,255811,294755,-38944,341440,0.5
1900-01-21 01:07:15,7912.5,363686,7913.0,385704,305499,24388,281111,-22018,0.5
1900-01-21 01:07:30,7916.0,410411,7916.5,385154,647392,29651,617741,25257,0.5
1900-01-21 01:07:45,7918.5,2191267,7919.0,6035,497408,150256,347152,2185232,0.5
1900-01-21 01:08:00,7923.0,161233,7923.5,466053,362058,207250,154808,-304820,0.5
1900-01-21 01:08:15,7916.0,110134,7916.5,979844,143808,92919,50889,-869710,0.5
1900-01-21 01:08:30,7919.0,953917,7919.5,48522,66404,69470,-3066,905395,0.5
1900-01-21 06:11:15,8007.5,6106,8008.0,644175,1344,56578,-55234,-638069,0.5
